model_id,likes,downloads,last_modified,architecture,parameters,type,license,languages,dataset,epochs,batch_size,optimizer,learning_rate
deepseek-ai/DeepSeek-R1,13175,3809981,2025-03-27T04:01:59.000Z,"transformers,safetensors,deepseek_v3,text-generation,conversational,custom_code,arxiv:2501.12948,license:mit,eval-results,text-generation-inference,endpoints_compatible,fp8,region:us",,base,,,,,,,
meta-llama/Meta-Llama-3-8B,6515,3287503,2024-09-27T15:52:33.000Z,"transformers,safetensors,llama,text-generation,facebook,meta,pytorch,llama-3,en,license:llama3,text-generation-inference,endpoints_compatible,region:us",,base,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,5699,9548783,2024-09-25T17:00:57.000Z,"transformers,safetensors,llama,text-generation,facebook,meta,pytorch,llama-3,conversational,en,de,fr,it,pt,hi,es,th,arxiv:2204.05149,base_model:meta-llama/Llama-3.1-8B,base_model:finetune:meta-llama/Llama-3.1-8B,license:llama3.1,eval-results,text-generation-inference,endpoints_compatible,region:us",,instruction-tuned,,,,,,,
meta-llama/Llama-2-7b-chat-hf,4732,433006,2024-04-17T08:40:48.000Z,"transformers,pytorch,safetensors,llama,text-generation,facebook,meta,llama-2,conversational,en,arxiv:2307.09288,license:llama2,text-generation-inference,endpoints_compatible,region:us",,chat,,,,,,,
openai/gpt-oss-120b,4691,3489532,2025-08-26T17:25:03.000Z,"transformers,safetensors,gpt_oss,text-generation,vllm,conversational,arxiv:2508.10925,license:apache-2.0,eval-results,endpoints_compatible,8-bit,mxfp4,deploy:azure,region:us",117b parameters,base,,,,,,,
openai/gpt-oss-20b,4539,6191914,2025-08-26T17:25:47.000Z,"transformers,safetensors,gpt_oss,text-generation,vllm,conversational,arxiv:2508.10925,license:apache-2.0,eval-results,endpoints_compatible,8-bit,mxfp4,deploy:azure,region:us",117b parameters,base,,,,,,,
meta-llama/Llama-2-7b,4473,294,2024-04-17T08:12:44.000Z,"facebook,meta,pytorch,llama,llama-2,text-generation,en,arxiv:2307.09288,license:llama2,region:us",,base,,,,,,,
meta-llama/Meta-Llama-3-8B-Instruct,4472,1299120,2025-06-18T23:49:51.000Z,"transformers,safetensors,llama,text-generation,facebook,meta,pytorch,llama-3,conversational,en,license:llama3,text-generation-inference,endpoints_compatible,region:us,deploy:azure",,instruction-tuned,,,,,,,
mistralai/Mistral-7B-v0.1,4074,868506,2025-07-24T16:44:02.000Z,"transformers,pytorch,safetensors,mistral,text-generation,pretrained,mistral-common,en,arxiv:2310.06825,license:apache-2.0,text-generation-inference,region:us",,base,,- en,,,,,
deepseek-ai/DeepSeek-V3,4031,781402,2025-03-27T04:01:45.000Z,"transformers,safetensors,deepseek_v3,text-generation,conversational,custom_code,arxiv:2412.19437,eval-results,text-generation-inference,endpoints_compatible,fp8,region:us",,base,,,,,,,
microsoft/phi-2,3446,1094822,2025-12-08T11:35:44.000Z,"transformers,safetensors,phi,text-generation,nlp,code,en,license:mit,text-generation-inference,endpoints_compatible,region:us,deploy:azure",,base,,- en,,,,,
google/gemma-7b,3301,138925,2024-06-27T14:09:40.000Z,"transformers,safetensors,gguf,gemma,text-generation,arxiv:2305.14314,arxiv:2312.11805,arxiv:2009.03300,arxiv:1905.07830,arxiv:1911.11641,arxiv:1904.09728,arxiv:1905.10044,arxiv:1907.10641,arxiv:1811.00937,arxiv:1809.02789,arxiv:1911.01547,arxiv:1705.03551,arxiv:2107.03374,arxiv:2108.07732,arxiv:2110.14168,arxiv:2304.06364,arxiv:2206.04615,arxiv:1804.06876,arxiv:2110.08193,arxiv:2009.11462,arxiv:2101.11718,arxiv:1804.09301,arxiv:2109.07958,arxiv:2203.09509,license:gemma,text-generation-inference,endpoints_compatible,region:us",,base,,,,,,,
openai-community/gpt2,3199,13849161,2024-02-19T10:57:45.000Z,"transformers,pytorch,tf,jax,tflite,rust,onnx,safetensors,gpt2,text-generation,exbert,en,doi:10.57967/hf/0039,license:mit,text-generation-inference,endpoints_compatible,region:us,deploy:azure",124m parameters,base,,en,,,,,
mistralai/Mistral-7B-Instruct-v0.2,3117,2221218,2025-07-24T16:57:21.000Z,"transformers,pytorch,safetensors,mistral,text-generation,finetuned,mistral-common,conversational,arxiv:2310.06825,license:apache-2.0,text-generation-inference,region:us,deploy:azure",,instruction-tuned,,,,,,,
deepseek-ai/DeepSeek-V3-0324,3101,574425,2025-03-27T04:01:53.000Z,"transformers,safetensors,deepseek_v3,text-generation,conversational,custom_code,arxiv:2412.19437,license:mit,eval-results,text-generation-inference,endpoints_compatible,fp8,region:us",,base,,,,,,,
bigcode/starcoder,2940,10707,2024-10-08T20:53:18.000Z,"transformers,pytorch,safetensors,gpt_bigcode,text-generation,code,dataset:bigcode/the-stack-dedup,arxiv:1911.02150,arxiv:2205.14135,arxiv:2207.14255,arxiv:2305.06161,license:bigcode-openrail-m,model-index,text-generation-inference,endpoints_compatible,region:us",,base,,,,,,,
Qwen/QwQ-32B,2892,70888,2025-03-11T12:15:48.000Z,"transformers,safetensors,qwen2,text-generation,chat,conversational,en,arxiv:2309.00071,arxiv:2412.15115,base_model:Qwen/Qwen2.5-32B,base_model:finetune:Qwen/Qwen2.5-32B,license:apache-2.0,text-generation-inference,endpoints_compatible,region:us,deploy:azure",,base,,- en,,,,,
meta-llama/Llama-3.3-70B-Instruct,2703,467893,2024-12-21T18:28:01.000Z,"transformers,safetensors,llama,text-generation,facebook,meta,pytorch,llama-3,conversational,en,fr,it,pt,hi,es,th,de,arxiv:2204.05149,base_model:meta-llama/Llama-3.1-70B,base_model:finetune:meta-llama/Llama-3.1-70B,license:llama3.3,text-generation-inference,endpoints_compatible,region:us",,instruction-tuned,,,,,,,
tiiuae/falcon-40b,2435,20305,2024-08-09T07:48:37.000Z,"transformers,pytorch,safetensors,falcon,text-generation,custom_code,en,de,es,fr,dataset:tiiuae/falcon-refinedweb,arxiv:2205.14135,arxiv:1911.02150,arxiv:2101.00027,arxiv:2005.14165,arxiv:2104.09864,arxiv:2306.01116,license:apache-2.0,text-generation-inference,region:us,deploy:azure",40b parameters,base,,- en,,,,,
deepseek-ai/DeepSeek-R1-0528,2416,773495,2025-05-29T11:37:44.000Z,"transformers,safetensors,deepseek_v3,text-generation,conversational,custom_code,arxiv:2501.12948,license:mit,eval-results,text-generation-inference,endpoints_compatible,fp8,region:us",,base,,,,,,,
xai-org/grok-1,2405,159,2024-03-28T16:25:32.000Z,"grok,grok-1,text-generation,license:apache-2.0,region:us",314b parameters,base,,,,,,,
meta-llama/Llama-3.2-1B,2360,1251088,2024-10-24T15:08:03.000Z,"transformers,safetensors,llama,text-generation,facebook,meta,pytorch,llama-3,en,de,fr,it,pt,hi,es,th,arxiv:2204.05149,arxiv:2405.16406,license:llama3.2,text-generation-inference,endpoints_compatible,region:us",,base,,,,,,,
moonshotai/Kimi-K2-Instruct,2336,216313,2026-01-30T04:50:07.000Z,"transformers,safetensors,kimi_k2,text-generation,conversational,custom_code,doi:10.57967/hf/5976,license:other,eval-results,endpoints_compatible,fp8,region:us",,instruction-tuned,,,,,,"we apply the muon optimizer to an unprecedented scale, and develop novel optimization techniques to resolve instabilities while scaling up.",
meta-llama/Llama-2-7b-hf,2291,1734181,2024-04-17T08:40:16.000Z,"transformers,pytorch,safetensors,llama,text-generation,facebook,meta,llama-2,en,arxiv:2307.09288,license:llama2,text-generation-inference,endpoints_compatible,region:us",,base,,,,,,,
microsoft/phi-4,2226,566459,2025-11-24T16:57:37.000Z,"transformers,safetensors,phi3,text-generation,phi,nlp,math,code,chat,conversational,en,arxiv:2412.08905,license:mit,text-generation-inference,endpoints_compatible,region:us",14b parameters,base,,- en,,,,,
meta-llama/Llama-2-70b-chat-hf,2207,70494,2024-04-17T08:41:06.000Z,"transformers,pytorch,safetensors,llama,text-generation,facebook,meta,llama-2,conversational,en,arxiv:2307.09288,license:llama2,text-generation-inference,endpoints_compatible,region:us",,chat,,,,,,,
meta-llama/Llama-3.1-8B,2154,1413317,2024-10-16T22:00:37.000Z,"transformers,safetensors,llama,text-generation,facebook,meta,pytorch,llama-3,en,de,fr,it,pt,hi,es,th,arxiv:2204.05149,license:llama3.1,text-generation-inference,endpoints_compatible,region:us",,base,,,,,,,
meta-llama/Llama-3.2-3B-Instruct,2095,4968924,2024-10-24T15:07:29.000Z,"transformers,safetensors,llama,text-generation,facebook,meta,pytorch,llama-3,conversational,en,de,fr,it,pt,hi,es,th,arxiv:2204.05149,arxiv:2405.16406,license:llama3.2,text-generation-inference,endpoints_compatible,region:us",,instruction-tuned,,,,,,,
nvidia/Llama-3.1-Nemotron-70B-Instruct-HF,2063,11378,2025-04-13T04:12:19.000Z,"transformers,safetensors,llama,text-generation,nvidia,llama3.1,conversational,en,dataset:nvidia/HelpSteer2,arxiv:2410.01257,arxiv:2405.01481,arxiv:2406.08673,base_model:meta-llama/Llama-3.1-70B-Instruct,base_model:finetune:meta-llama/Llama-3.1-70B-Instruct,license:llama3.1,text-generation-inference,region:us",,instruction-tuned,,- en,,,,,
Qwen/Qwen2.5-Coder-32B-Instruct,2000,1149847,2025-01-12T02:02:22.000Z,"transformers,safetensors,qwen2,text-generation,code,codeqwen,chat,qwen,qwen-coder,conversational,en,arxiv:2409.12186,arxiv:2309.00071,arxiv:2407.10671,base_model:Qwen/Qwen2.5-Coder-32B,base_model:finetune:Qwen/Qwen2.5-Coder-32B,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",,instruction-tuned,,- en,,,,,
zai-org/GLM-5,1980,496019,2026-04-05T07:48:51.000Z,"transformers,safetensors,glm_moe_dsa,text-generation,conversational,en,zh,arxiv:2602.15763,license:mit,eval-results,endpoints_compatible,region:us",355b parameters,base,,- en,,,,,
zai-org/GLM-4.7,1950,122400,2026-01-29T08:05:58.000Z,"transformers,safetensors,glm4_moe,text-generation,conversational,en,zh,arxiv:2508.06471,license:mit,eval-results,endpoints_compatible,region:us",,base,,- en,,,,,
HuggingFaceH4/zephyr-7b-beta,1840,113077,2024-10-16T11:48:13.000Z,"transformers,pytorch,safetensors,mistral,text-generation,generated_from_trainer,conversational,en,dataset:HuggingFaceH4/ultrachat_200k,dataset:HuggingFaceH4/ultrafeedback_binarized,arxiv:2305.18290,arxiv:2310.16944,arxiv:2305.14233,arxiv:2310.01377,base_model:mistralai/Mistral-7B-v0.1,base_model:finetune:mistralai/Mistral-7B-v0.1,license:mit,model-index,text-generation-inference,endpoints_compatible,region:us,deploy:azure",,base,,- en,name: ai2 reasoning challenge (25-shot),3,,"adam with betas=(0.9,0.999) and epsilon=1e-08",
mistralai/Mistral-7B-Instruct-v0.1,1830,386236,2025-07-24T16:44:46.000Z,"transformers,pytorch,safetensors,mistral,text-generation,finetuned,mistral-common,conversational,arxiv:2310.06825,base_model:mistralai/Mistral-7B-v0.1,base_model:finetune:mistralai/Mistral-7B-v0.1,license:apache-2.0,text-generation-inference,region:us",,instruction-tuned,,,,,,,
CohereLabs/c4ai-command-r-plus,1776,2758,2025-04-16T03:03:37.000Z,"transformers,safetensors,cohere,text-generation,conversational,en,fr,de,es,it,pt,ja,ko,zh,ar,doi:10.57967/hf/3138,license:cc-by-nc-4.0,text-generation-inference,region:us",,base,,,,,,,
Qwen/QwQ-32B-Preview,1738,8329,2025-01-12T01:58:42.000Z,"transformers,safetensors,qwen2,text-generation,chat,conversational,en,arxiv:2407.10671,base_model:Qwen/Qwen2.5-32B-Instruct,base_model:finetune:Qwen/Qwen2.5-32B-Instruct,license:apache-2.0,text-generation-inference,endpoints_compatible,region:us,deploy:azure",,base,,- en,,,,,
mattshumer/Reflection-Llama-3.1-70B,1712,208,2024-09-24T15:28:41.000Z,"transformers,safetensors,llama,text-generation,conversational,base_model:meta-llama/Llama-3.1-70B-Instruct,base_model:finetune:meta-llama/Llama-3.1-70B-Instruct,license:llama3.1,text-generation-inference,endpoints_compatible,deploy:azure,region:us",,base,,,,,,,
microsoft/Phi-3-mini-128k-instruct,1697,250866,2025-12-10T20:21:52.000Z,"transformers,safetensors,phi3,text-generation,nlp,code,conversational,custom_code,en,license:mit,text-generation-inference,endpoints_compatible,region:us",3.8b parameters,instruction-tuned,,- en,,,,,
moonshotai/Kimi-K2-Thinking,1689,82700,2026-01-30T04:49:39.000Z,"transformers,safetensors,kimi_k2,text-generation,conversational,custom_code,license:other,eval-results,endpoints_compatible,compressed-tensors,region:us",,base,,,,,,,
zai-org/GLM-4.7-Flash,1665,729180,2026-01-29T08:06:19.000Z,"transformers,safetensors,glm4_moe_lite,text-generation,conversational,en,zh,arxiv:2508.06471,license:mit,eval-results,endpoints_compatible,deploy:azure,region:us",,base,,- en,,,,,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1563,3039843,2024-03-17T05:07:08.000Z,"transformers,safetensors,llama,text-generation,conversational,en,dataset:cerebras/SlimPajama-627B,dataset:bigcode/starcoderdata,dataset:HuggingFaceH4/ultrachat_200k,dataset:HuggingFaceH4/ultrafeedback_binarized,license:apache-2.0,text-generation-inference,endpoints_compatible,region:us,deploy:azure",1.1b parameters,chat,,- en,,,,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,1532,1024949,2025-02-24T03:31:29.000Z,"transformers,safetensors,qwen2,text-generation,conversational,arxiv:2501.12948,license:mit,text-generation-inference,endpoints_compatible,region:us",,base,,,,,,,
meta-llama/Meta-Llama-3-70B-Instruct,1508,46956,2025-06-18T23:49:26.000Z,"transformers,safetensors,llama,text-generation,facebook,meta,pytorch,llama-3,conversational,en,base_model:meta-llama/Meta-Llama-3-70B,base_model:finetune:meta-llama/Meta-Llama-3-70B,license:llama3,text-generation-inference,endpoints_compatible,region:us,deploy:azure",,instruction-tuned,,,,,,,
MiniMaxAI/MiniMax-M2,1490,60040,2025-12-23T08:37:43.000Z,"transformers,safetensors,minimax_m2,text-generation,conversational,custom_code,arxiv:2504.07164,arxiv:2509.06501,arxiv:2509.13160,license:other,eval-results,endpoints_compatible,fp8,deploy:azure,region:us",,base,,,,,,,
